,FIPS,Median_Household_Income_2018,Income_Ctg,transit_scores,Test Date,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,After Order,pop_density,proportion_cases,log_proportion,dt_test_date,Pre Trend,Post Trend,NatLogDiff
10,36001,64536,3,7100041237,3/12/2020,20,20,220,780,0,581.9,0.090909091,-2.397895273,3/12/2020,10,0,0
11,36001,64536,2,7100041237,3/13/2020,40,60,520,1300,0,581.9,0.076923077,-2.564949357,3/13/2020,11,0,1.098612289
12,36001,64536,3,7100041237,3/14/2020,60,120,2160,3460,0,581.9,0.027777778,-3.583518938,3/14/2020,12,0,0.693147181
13,36001,64536,2,7100041237,3/15/2020,120,240,2160,5620,0,581.9,0.055555556,-2.890371758,3/15/2020,13,0,0.693147181
14,36001,64536,3,7100041237,3/16/2020,220,460,2800,8420,0,581.9,0.078571429,-2.54374715,3/16/2020,14,0,0.650587566
15,36001,64536,3,7100041237,3/17/2020,260,720,5340,13760,0,581.9,0.048689139,-3.022299301,3/17/2020,15,0,0.448024723
16,36001,64536,3,7100041237,3/18/2020,140,860,6620,20380,0,581.9,0.021148036,-3.856208226,3/18/2020,16,0,0.177681177
17,36001,64536,2,7100041237,3/19/2020,360,1220,9000,29380,0,581.9,0.04,-3.218875825,3/19/2020,17,0,0.349673748
18,36001,64536,3,7100041237,3/20/2020,540,1760,9980,39360,0,581.9,0.054108216,-2.91676923,3/20/2020,18,0,0.36646295
19,36001,64536,3,7100041237,3/21/2020,700,2460,11540,50900,0,581.9,0.060658579,-2.802494205,3/21/2020,19,0,0.334847541
20,36001,64536,2,7100041237,3/22/2020,80,2540,3940,54840,0,581.9,0.020304569,-3.896909368,3/22/2020,20,0,0.032002731
21,36001,64536,3,7100041237,3/23/2020,380,2920,2880,57720,0,581.9,0.131944444,-2.02537432,3/23/2020,21,0,0.139419535
22,36001,64536,3,7100041237,3/24/2020,120,3040,3960,61680,0,581.9,0.03030303,-3.496507561,3/24/2020,22,0,0.040273899
23,36001,64536,3,7100041237,3/25/2020,380,3420,1860,63540,0,581.9,0.204301075,-1.588160514,3/25/2020,23,0,0.117783036
24,36001,64536,2,7100041237,3/26/2020,320,3740,2240,65780,1,581.9,0.142857143,-1.945910149,3/26/2020,24,1,0.08944506
25,36001,64536,2,7100041237,3/27/2020,160,3900,2020,67800,1,581.9,0.079207921,-2.535678975,3/27/2020,25,2,0.041890942
26,36001,64536,3,7100041237,3/28/2020,200,4100,1460,69260,1,581.9,0.136986301,-1.987874348,3/28/2020,26,3,0.050010421
27,36001,64536,1,7100041237,3/29/2020,240,4340,1220,70480,1,581.9,0.196721311,-1.625967214,3/29/2020,27,4,0.056887374
28,36001,64536,3,7100041237,3/30/2020,180,4520,1440,71920,1,581.9,0.125,-2.079441542,3/30/2020,28,5,0.040637646
29,36001,64536,3,7100041237,3/31/2020,280,4800,2160,74080,1,581.9,0.12962963,-2.043073898,3/31/2020,29,6,0.060103924
30,36001,64536,2,7100041237,4/1/2020,260,5060,2120,76200,1,581.9,0.122641509,-2.098489737,4/1/2020,30,7,0.052750565
31,36001,64536,3,7100041237,4/2/2020,280,5340,2100,78300,1,581.9,0.133333333,-2.014903021,4/2/2020,31,8,0.05385917
32,36001,64536,2,7100041237,4/3/2020,520,5860,2460,80760,1,581.9,0.211382114,-1.554087817,4/3/2020,32,9,0.092923951
33,36001,64536,1,7100041237,4/4/2020,240,6100,2340,83100,1,581.9,0.102564103,-2.277267285,4/4/2020,33,10,0.040139168
34,36001,64536,3,7100041237,4/5/2020,280,6380,1780,84880,1,581.9,0.157303371,-1.84957904,4/5/2020,34,11,0.044879326
35,36001,64536,3,7100041237,4/6/2020,280,6660,1720,86600,1,581.9,0.162790698,-1.815289967,4/6/2020,35,12,0.042951387
36,36001,64536,3,7100041237,4/7/2020,180,6840,1480,88080,1,581.9,0.121621622,-2.106840516,4/7/2020,36,13,0.026668247
37,36001,64536,3,7100041237,4/8/2020,740,7580,4580,92660,1,581.9,0.161572052,-1.822804091,4/8/2020,37,14,0.102725468
38,36001,64536,2,7100041237,4/9/2020,940,8520,6640,99300,1,581.9,0.141566265,-1.954987367,4/9/2020,38,15,0.116903141
39,36001,64536,3,7100041237,4/10/2020,400,8920,3180,102480,1,581.9,0.125786164,-2.073171929,4/10/2020,39,16,0.045879606
40,36001,64536,3,7100041237,4/11/2020,640,9560,4460,106940,1,581.9,0.143497758,-1.941435869,4/11/2020,40,17,0.06929178
41,36001,64536,2,7100041237,4/12/2020,420,9980,3860,110800,1,581.9,0.10880829,-2.218167751,4/12/2020,41,18,0.042995363
42,36001,64536,3,7100041237,4/13/2020,720,10700,4320,115120,1,581.9,0.166666667,-1.791759469,4/13/2020,42,19,0.069660651
43,36001,64536,3,7100041237,4/14/2020,260,10960,2120,117240,1,581.9,0.122641509,-2.098489737,4/14/2020,43,20,0.02400854
44,36001,64536,3,7100041237,4/15/2020,660,11620,6020,123260,1,581.9,0.109634551,-2.210602703,4/15/2020,44,21,0.05847547
45,36001,64536,3,7100041237,4/16/2020,760,12380,5460,128720,1,581.9,0.139194139,-1.971885635,4/16/2020,45,22,0.063354516
46,36001,64536,3,7100041237,4/17/2020,580,12960,5820,134540,1,581.9,0.099656357,-2.306027437,4/17/2020,46,23,0.045785424
47,36001,64536,3,7100041237,4/18/2020,680,13640,6100,140640,1,581.9,0.11147541,-2.193951252,4/18/2020,47,24,0.051138961
48,36001,64536,1,7100041237,4/19/2020,100,13740,2060,142700,1,581.9,0.048543689,-3.025291076,4/19/2020,48,25,0.007304634
49,36001,64536,2,7100041237,4/20/2020,340,14080,3280,145980,1,581.9,0.103658537,-2.266653084,4/20/2020,49,26,0.024444064
50,36001,64536,2,7100041237,4/21/2020,660,14740,4720,150700,1,581.9,0.139830508,-1.967324244,4/21/2020,50,27,0.045809536
51,36001,64536,3,7100041237,4/22/2020,420,15160,3560,154260,1,581.9,0.117977528,-2.137261113,4/22/2020,51,28,0.028095493
52,36001,64536,3,7100041237,4/23/2020,940,16100,6380,160640,1,581.9,0.147335423,-1.915043501,4/23/2020,52,29,0.060158892
53,36001,64536,2,7100041237,4/24/2020,1880,17980,12520,173160,1,581.9,0.150159744,-1.896055589,4/24/2020,53,30,0.110440757
54,36001,64536,3,7100041237,4/25/2020,980,18960,8040,181200,1,581.9,0.121890547,-2.104631791,4/25/2020,54,31,0.053071468
55,36001,64536,3,7100041237,4/26/2020,620,19580,5260,186460,1,581.9,0.117870722,-2.138166828,4/26/2020,55,32,0.03217714
56,36001,64536,3,7100041237,4/27/2020,600,20180,3940,190400,1,581.9,0.152284264,-1.882006347,4/27/2020,56,33,0.030183378
57,36001,64536,2,7100041237,4/28/2020,1160,21340,7020,197420,1,581.9,0.165242165,-1.800343213,4/28/2020,57,34,0.055891231
58,36001,64536,3,7100041237,4/29/2020,1960,23300,8780,206200,1,581.9,0.223234624,-1.499531934,4/29/2020,58,35,0.087870115
59,36001,64536,2,7100041237,4/30/2020,780,24080,7560,213760,1,581.9,0.103174603,-2.271332549,4/30/2020,59,36,0.03292826
60,36001,64536,3,7100041237,5/1/2020,680,24760,8680,222440,1,581.9,0.078341014,-2.546684009,5/1/2020,60,37,0.027847827
61,36001,64536,2,7100041237,5/2/2020,400,25160,8820,231260,1,581.9,0.045351474,-3.093312602,5/2/2020,61,38,0.016025984
62,36001,64536,1,7100041237,5/3/2020,580,25740,7820,239080,1,581.9,0.074168798,-2.60141173,5/3/2020,62,39,0.02279077
63,36001,64536,3,7100041237,5/4/2020,140,25880,2600,241680,1,581.9,0.053846154,-2.921624301,5/4/2020,63,40,0.005424267
64,36001,64536,2,7100041237,5/5/2020,540,26420,7340,249020,1,581.9,0.073569482,-2.609524982,5/5/2020,64,41,0.020650829
65,36001,64536,1,7100041237,5/6/2020,540,26960,8140,257160,1,581.9,0.066339066,-2.712976319,5/6/2020,65,42,0.020232987
66,36001,64536,3,7100041237,5/7/2020,720,27680,7700,264860,1,581.9,0.093506494,-2.369724396,5/7/2020,66,43,0.026355845
67,36001,64536,3,7100041237,5/8/2020,640,28320,9760,274620,1,581.9,0.06557377,-2.724579503,5/8/2020,67,44,0.022858138
68,36001,64536,1,7100041237,5/9/2020,320,28640,9100,283720,1,581.9,0.035164835,-3.347708697,5/9/2020,68,45,0.011236073
69,36001,64536,3,7100041237,5/10/2020,480,29120,7680,291400,1,581.9,0.0625,-2.772588722,5/10/2020,69,46,0.016620881
70,36001,64536,1,7100041237,5/11/2020,460,29580,6820,298220,1,581.9,0.06744868,-2.696388261,5/11/2020,70,47,0.015673234
71,36001,64536,2,7100041237,5/12/2020,300,29880,6700,304920,1,581.9,0.044776119,-3.106080331,5/12/2020,71,48,0.010090903
72,36001,64536,2,7100041237,5/13/2020,300,30180,10920,315840,1,581.9,0.027472527,-3.594568775,5/13/2020,72,49,0.009990093
86,36003,46262,3,80458715,3/15/2020,80,80,200,440,0,47.6,0.4,-0.916290732,3/15/2020,13,0,0
99,36003,46262,2,80458715,3/28/2020,160,240,480,4560,1,47.6,0.333333333,-1.098612289,3/28/2020,26,3,1.098612289
100,36003,46262,3,80458715,3/29/2020,40,280,280,4840,1,47.6,0.142857143,-1.945910149,3/29/2020,27,4,0.15415068
102,36003,46262,2,80458715,3/31/2020,80,360,400,5400,1,47.6,0.2,-1.609437912,3/31/2020,29,6,0.251314428
103,36003,46262,3,80458715,4/1/2020,120,480,560,5960,1,47.6,0.214285714,-1.540445041,4/1/2020,30,7,0.287682072
104,36003,46262,2,80458715,4/2/2020,80,560,720,6680,1,47.6,0.111111111,-2.197224577,4/2/2020,31,8,0.15415068
105,36003,46262,3,80458715,4/3/2020,80,640,520,7200,1,47.6,0.153846154,-1.871802177,4/3/2020,32,9,0.133531393
107,36003,46262,3,80458715,4/5/2020,40,680,320,7840,1,47.6,0.125,-2.079441542,4/5/2020,34,11,0.060624622
109,36003,46262,1,80458715,4/7/2020,160,840,640,8600,1,47.6,0.25,-1.386294361,4/7/2020,36,13,0.211309094
110,36003,46262,3,80458715,4/8/2020,40,880,480,9080,1,47.6,0.083333333,-2.48490665,4/8/2020,37,14,0.046520016
111,36003,46262,2,80458715,4/9/2020,160,1040,840,9920,1,47.6,0.19047619,-1.658228077,4/9/2020,38,15,0.167054085
115,36003,46262,2,80458715,4/13/2020,80,1120,560,11760,1,47.6,0.142857143,-1.945910149,4/13/2020,42,19,0.074107972
118,36003,46262,2,80458715,4/16/2020,40,1160,840,13320,1,47.6,0.047619048,-3.044522438,4/16/2020,45,22,0.03509132
119,36003,46262,2,80458715,4/17/2020,40,1200,600,13920,1,47.6,0.066666667,-2.708050201,4/17/2020,46,23,0.033901552
125,36003,46262,3,80458715,4/23/2020,40,1240,400,16120,1,47.6,0.1,-2.302585093,4/23/2020,52,29,0.032789823
126,36003,46262,2,80458715,4/24/2020,160,1400,2440,18560,1,47.6,0.06557377,-2.724579503,4/24/2020,53,30,0.121360857
141,36003,46262,1,80458715,5/9/2020,40,1440,800,30800,1,47.6,0.05,-2.995732274,5/9/2020,68,45,0.028170877
142,36003,46262,3,80458715,5/10/2020,80,1520,1400,32200,1,47.6,0.057142857,-2.862200881,5/10/2020,69,46,0.054067221
143,36003,46262,3,80458715,5/11/2020,160,1680,1640,33840,1,47.6,0.097560976,-2.327277706,5/11/2020,70,47,0.100083459
144,36003,46262,1,80458715,5/12/2020,80,1760,1560,35400,1,47.6,0.051282051,-2.970414466,5/12/2020,71,48,0.046520016
152,36005,38566,3,,3/8/2020,1,1,16,45,0,32903.3,0.0625,-2.772588722,3/8/2020,6,0,0
153,36005,38566,3,,3/9/2020,4,5,31,76,0,32903.3,0.129032258,-2.047692843,3/9/2020,7,0,1.609437912
155,36005,38566,2,,3/11/2020,2,7,31,154,0,32903.3,0.064516129,-2.740840024,3/11/2020,9,0,0.336472237
156,36005,38566,2,,3/12/2020,3,10,36,190,0,32903.3,0.083333333,-2.48490665,3/12/2020,10,0,0.356674944
157,36005,38566,3,,3/13/2020,10,20,99,289,0,32903.3,0.101010101,-2.292534757,3/13/2020,11,0,0.693147181
158,36005,38566,1,,3/14/2020,8,28,80,369,0,32903.3,0.1,-2.302585093,3/14/2020,12,0,0.336472237
159,36005,38566,2,,3/15/2020,29,57,116,485,0,32903.3,0.25,-1.386294361,3/15/2020,13,0,0.710846758
160,36005,38566,3,,3/16/2020,29,86,151,636,0,32903.3,0.19205298,-1.649984007,3/16/2020,14,0,0.411296028
161,36005,38566,2,,3/17/2020,123,209,433,1069,0,32903.3,0.284064665,-1.258553373,3/17/2020,15,0,0.887986956
162,36005,38566,3,,3/18/2020,154,363,597,1666,0,32903.3,0.257956449,-1.354964511,3/18/2020,16,0,0.552068582
163,36005,38566,2,,3/19/2020,191,554,605,2271,0,32903.3,0.315702479,-1.15295503,3/19/2020,17,0,0.422761852
164,36005,38566,3,,3/20/2020,297,851,884,3155,0,32903.3,0.335972851,-1.090724924,3/20/2020,18,0,0.429247442
165,36005,38566,2,,3/21/2020,367,1218,1044,4199,0,32903.3,0.351532567,-1.04545292,3/21/2020,19,0,0.35855332
166,36005,38566,3,,3/22/2020,606,1824,1276,5475,0,32903.3,0.47492163,-0.744605478,3/22/2020,20,0,0.403821722
167,36005,38566,2,,3/23/2020,455,2279,970,6445,0,32903.3,0.469072165,-0.756998653,3/23/2020,21,0,0.222704859
168,36005,38566,2,,3/24/2020,611,2890,1188,7633,0,32903.3,0.514309764,-0.664929541,3/24/2020,22,0,0.237519752
169,36005,38566,2,,3/25/2020,838,3728,1770,9403,0,32903.3,0.473446328,-0.747716725,3/25/2020,23,0,0.254615395
170,36005,38566,3,,3/26/2020,829,4557,1428,10831,1,32903.3,0.580532213,-0.543809988,3/26/2020,24,1,0.200792615
171,36005,38566,3,,3/27/2020,846,5403,1478,12309,1,32903.3,0.572395129,-0.557925742,3/27/2020,25,2,0.170289843
172,36005,38566,2,,3/28/2020,901,6304,1529,13838,1,32903.3,0.589274035,-0.528863948,3/28/2020,26,3,0.154229998
173,36005,38566,3,,3/29/2020,658,6962,1160,14998,1,32903.3,0.567241379,-0.566970353,3/29/2020,27,4,0.099282437
174,36005,38566,2,,3/30/2020,804,7766,1341,16339,1,32903.3,0.599552573,-0.511571614,3/30/2020,28,5,0.109288442
175,36005,38566,3,,3/31/2020,1095,8861,1818,18157,1,32903.3,0.602310231,-0.506982632,3/31/2020,29,6,0.131904394
176,36005,38566,2,,4/1/2020,1066,9927,1754,19911,1,32903.3,0.607753706,-0.497985568,4/1/2020,30,7,0.113598693
177,36005,38566,3,,4/2/2020,1159,11086,1946,21857,1,32903.3,0.595580678,-0.518218419,4/2/2020,31,8,0.110424733
178,36005,38566,2,,4/3/2020,1229,12315,2108,23965,1,32903.3,0.583017078,-0.5395388,4/3/2020,32,9,0.105134981
179,36005,38566,1,,4/4/2020,1053,13368,1778,25743,1,32903.3,0.59223847,-0.523845904,4/4/2020,33,10,0.08204576
180,36005,38566,2,,4/5/2020,959,14327,1628,27371,1,32903.3,0.589066339,-0.529216472,4/5/2020,34,11,0.069282078
181,36005,38566,1,,4/6/2020,1021,15348,1996,29367,1,32903.3,0.511523046,-0.670362639,4/6/2020,35,12,0.068839303
182,36005,38566,3,,4/7/2020,1278,16626,2562,31929,1,32903.3,0.49882904,-0.695491848,4/7/2020,36,13,0.079982563
183,36005,38566,2,,4/8/2020,1166,17792,2348,34277,1,32903.3,0.496592845,-0.699984814,4/8/2020,37,14,0.067781183
184,36005,38566,2,,4/9/2020,1368,19160,2637,36914,1,32903.3,0.518771331,-0.656292088,4/9/2020,38,15,0.074075854
185,36005,38566,3,,4/10/2020,1317,20477,2580,39494,1,32903.3,0.510465116,-0.672432976,4/10/2020,39,16,0.066477533
186,36005,38566,2,,4/11/2020,964,21441,2081,41575,1,32903.3,0.463238827,-0.769512532,4/11/2020,40,17,0.046002672
187,36005,38566,3,,4/12/2020,764,22205,1623,43198,1,32903.3,0.47073321,-0.753463778,4/12/2020,41,18,0.035012512
188,36005,38566,2,,4/13/2020,1061,23266,2294,45492,1,32903.3,0.462510898,-0.771085159,4/13/2020,42,19,0.046675579
189,36005,38566,3,,4/14/2020,1387,24653,2622,48114,1,32903.3,0.528985507,-0.636794244,4/14/2020,43,20,0.05790553
190,36005,38566,3,,4/15/2020,1279,25932,2939,51053,1,32903.3,0.435182035,-0.831990865,4/15/2020,44,21,0.05057913
191,36005,38566,2,,4/16/2020,1103,27035,2793,53846,1,32903.3,0.394915861,-0.929082547,4/16/2020,45,22,0.041654596
192,36005,38566,2,,4/17/2020,984,28019,2597,56443,1,32903.3,0.378898729,-0.970486315,4/17/2020,46,23,0.035750529
193,36005,38566,3,,4/18/2020,804,28823,2162,58605,1,32903.3,0.371877891,-0.989189729,4/18/2020,47,24,0.028290828
194,36005,38566,3,,4/19/2020,549,29372,1707,60312,1,32903.3,0.321616872,-1.134394281,4/19/2020,48,25,0.01886816
195,36005,38566,2,,4/20/2020,617,29989,2050,62362,1,32903.3,0.30097561,-1.200726048,4/20/2020,49,26,0.020788808
196,36005,38566,2,,4/21/2020,879,30868,2942,65304,1,32903.3,0.298776343,-1.208060003,4/21/2020,50,27,0.028889401
197,36005,38566,3,,4/22/2020,791,31659,3084,68388,1,32903.3,0.256485084,-1.360684767,4/22/2020,51,28,0.02530242
198,36005,38566,2,,4/23/2020,1042,32701,3691,72079,1,32903.3,0.282308318,-1.264755481,4/23/2020,52,29,0.03238319
199,36005,38566,3,,4/24/2020,1482,34183,4800,76879,1,32903.3,0.30875,-1.175223391,4/24/2020,53,30,0.044322786
200,36005,38566,1,,4/25/2020,787,34970,2967,79846,1,32903.3,0.265251095,-1.327078372,4/25/2020,54,31,0.022762107
201,36005,38566,2,,4/26/2020,586,35556,2363,82209,1,32903.3,0.247989843,-1.394367488,4/26/2020,55,32,0.016618367
202,36005,38566,2,,4/27/2020,438,35994,2107,84316,1,32903.3,0.2078785,-1.570801503,4/27/2020,56,33,0.01224334
203,36005,38566,1,,4/28/2020,606,36600,2938,87254,1,32903.3,0.206262764,-1.578604371,4/28/2020,57,34,0.016695983
204,36005,38566,2,,4/29/2020,644,37244,2977,90231,1,32903.3,0.21632516,-1.530972635,4/29/2020,58,35,0.017442618
205,36005,38566,3,,4/30/2020,541,37785,2824,93055,1,32903.3,0.191572238,-1.65249032,4/30/2020,59,36,0.01442134
206,36005,38566,2,,5/1/2020,665,38450,3694,96749,1,32903.3,0.180021657,-1.71467812,5/1/2020,60,37,0.017446497
207,36005,38566,2,,5/2/2020,466,38916,2857,99606,1,32903.3,0.163108155,-1.813341768,5/2/2020,61,38,0.012046781
208,36005,38566,2,,5/3/2020,307,39223,1869,101475,1,32903.3,0.164258962,-1.80631106,5/3/2020,62,39,0.007857832
209,36005,38566,2,,5/4/2020,253,39476,2001,103476,1,32903.3,0.126436782,-2.068012846,5/4/2020,63,40,0.006429583
210,36005,38566,2,,5/5/2020,363,39839,2657,106133,1,32903.3,0.136620248,-1.990550111,5/5/2020,64,41,0.00915344
211,36005,38566,2,,5/6/2020,342,40181,2786,108919,1,32903.3,0.12275664,-2.097551417,5/6/2020,65,42,0.008547915
212,36005,38566,3,,5/7/2020,352,40533,3078,111997,1,32903.3,0.114359974,-2.168404139,5/7/2020,66,43,0.00872221
213,36005,38566,2,,5/8/2020,271,40804,2873,114870,1,32903.3,0.094326488,-2.360993238,5/8/2020,67,44,0.006663659
214,36005,38566,2,,5/9/2020,255,41059,2935,117805,1,32903.3,0.086882453,-2.443199187,5/9/2020,68,45,0.006229941
215,36005,38566,3,,5/10/2020,237,41296,2140,119945,1,32903.3,0.110747664,-2.200500967,5/10/2020,69,46,0.005755586
216,36005,38566,1,,5/11/2020,145,41441,1510,121455,1,32903.3,0.09602649,-2.343131187,5/11/2020,70,47,0.003505086
217,36005,38566,2,,5/12/2020,236,41677,2678,124133,1,32903.3,0.088125467,-2.428993721,5/12/2020,71,48,0.005678689
218,36005,38566,2,,5/13/2020,303,41980,3338,127471,1,32903.3,0.090772918,-2.399394299,5/13/2020,72,49,0.007243897
229,36007,50928,1,4646957052,3/12/2020,25,25,50,175,0,284.2,0.5,-0.693147181,3/12/2020,10,0,0
235,36007,50928,3,4646957052,3/18/2020,25,50,225,750,0,284.2,0.111111111,-2.197224577,3/18/2020,16,0,0.693147181
238,36007,50928,3,4646957052,3/21/2020,25,75,125,1350,0,284.2,0.2,-1.609437912,3/21/2020,19,0,0.405465108
239,36007,50928,2,4646957052,3/22/2020,100,175,500,1850,0,284.2,0.2,-1.609437912,3/22/2020,20,0,0.84729786
240,36007,50928,1,4646957052,3/23/2020,50,225,450,2300,0,284.2,0.111111111,-2.197224577,3/23/2020,21,0,0.251314428
241,36007,50928,3,4646957052,3/24/2020,50,275,325,2625,0,284.2,0.153846154,-1.871802177,3/24/2020,22,0,0.200670695
242,36007,50928,2,4646957052,3/25/2020,125,400,925,3550,0,284.2,0.135135135,-2.00148,3/25/2020,23,0,0.374693449
243,36007,50928,3,4646957052,3/26/2020,50,450,625,4175,1,284.2,0.08,-2.525728644,3/26/2020,24,1,0.117783036
244,36007,50928,2,4646957052,3/27/2020,125,575,925,5100,1,284.2,0.135135135,-2.00148,3/27/2020,25,2,0.245122458
245,36007,50928,3,4646957052,3/28/2020,150,725,1125,6225,1,284.2,0.133333333,-2.014903021,3/28/2020,26,3,0.231801614
246,36007,50928,1,4646957052,3/29/2020,150,875,900,7125,1,284.2,0.166666667,-1.791759469,3/29/2020,27,4,0.188052232
247,36007,50928,3,4646957052,3/30/2020,75,950,1200,8325,1,284.2,0.0625,-2.772588722,3/30/2020,28,5,0.082238098
248,36007,50928,2,4646957052,3/31/2020,100,1050,875,9200,1,284.2,0.114285714,-2.1690537,3/31/2020,29,6,0.100083459
249,36007,50928,3,4646957052,4/1/2020,100,1150,1075,10275,1,284.2,0.093023256,-2.374905755,4/1/2020,30,7,0.090971778
250,36007,50928,1,4646957052,4/2/2020,250,1400,1800,12075,1,284.2,0.138888889,-1.974081026,4/2/2020,31,8,0.196710294
251,36007,50928,3,4646957052,4/3/2020,225,1625,1375,13450,1,284.2,0.163636364,-1.810108608,4/3/2020,32,9,0.149035579
252,36007,50928,2,4646957052,4/4/2020,150,1775,900,14350,1,284.2,0.166666667,-1.791759469,4/4/2020,33,10,0.088292607
253,36007,50928,2,4646957052,4/5/2020,125,1900,825,15175,1,284.2,0.151515152,-1.887069649,4/5/2020,34,11,0.068053463
254,36007,50928,2,4646957052,4/6/2020,250,2150,1175,16350,1,284.2,0.212765957,-1.547562509,4/6/2020,35,12,0.123613956
255,36007,50928,2,4646957052,4/7/2020,50,2200,600,16950,1,284.2,0.083333333,-2.48490665,4/7/2020,36,13,0.022989518
256,36007,50928,2,4646957052,4/8/2020,425,2625,2050,19000,1,284.2,0.207317073,-1.573505903,4/8/2020,37,14,0.176623536
257,36007,50928,2,4646957052,4/9/2020,175,2800,1450,20450,1,284.2,0.120689655,-2.114532861,4/9/2020,38,15,0.064538521
258,36007,50928,2,4646957052,4/10/2020,125,2925,775,21225,1,284.2,0.161290323,-1.824549292,4/10/2020,39,16,0.043675064
259,36007,50928,1,4646957052,4/11/2020,225,3150,1500,22725,1,284.2,0.15,-1.897119985,4/11/2020,40,17,0.074107972
260,36007,50928,2,4646957052,4/12/2020,175,3325,975,23700,1,284.2,0.179487179,-1.717651497,4/12/2020,41,18,0.054067221
261,36007,50928,1,4646957052,4/13/2020,325,3650,2250,25950,1,284.2,0.144444444,-1.934860313,4/13/2020,42,19,0.093257493
262,36007,50928,2,4646957052,4/14/2020,175,3825,1825,27775,1,284.2,0.095890411,-2.344549292,4/14/2020,43,20,0.0468313
263,36007,50928,2,4646957052,4/15/2020,350,4175,1850,29625,1,284.2,0.189189189,-1.665007764,4/15/2020,44,21,0.087555891
264,36007,50928,3,4646957052,4/16/2020,275,4450,2050,31675,1,284.2,0.134146341,-2.008823974,4/16/2020,45,22,0.063789738
265,36007,50928,3,4646957052,4/17/2020,200,4650,1600,33275,1,284.2,0.125,-2.079441542,4/17/2020,46,23,0.043963123
266,36007,50928,1,4646957052,4/18/2020,150,4800,1300,34575,1,284.2,0.115384615,-2.159484249,4/18/2020,47,24,0.031748698
267,36007,50928,1,4646957052,4/19/2020,175,4975,1075,35650,1,284.2,0.162790698,-1.815289967,4/19/2020,48,25,0.035809453
268,36007,50928,3,4646957052,4/20/2020,150,5125,1175,36825,1,284.2,0.127659574,-2.058388132,4/20/2020,49,26,0.029705154
269,36007,50928,1,4646957052,4/21/2020,350,5475,1350,38175,1,284.2,0.259259259,-1.349926717,4/21/2020,50,27,0.066061751
270,36007,50928,1,4646957052,4/22/2020,125,5600,2550,40725,1,284.2,0.049019608,-3.015534901,4/22/2020,51,28,0.022574322
271,36007,50928,2,4646957052,4/23/2020,200,5800,2125,42850,1,284.2,0.094117647,-2.363209715,4/23/2020,52,29,0.03509132
272,36007,50928,2,4646957052,4/24/2020,475,6275,5300,48150,1,284.2,0.089622642,-2.412147296,4/24/2020,53,30,0.078715567
273,36007,50928,3,4646957052,4/25/2020,150,6425,2625,50775,1,284.2,0.057142857,-2.862200881,4/25/2020,54,31,0.023623146
274,36007,50928,2,4646957052,4/26/2020,100,6525,1725,52500,1,284.2,0.057971014,-2.847812143,4/26/2020,55,32,0.015444322
275,36007,50928,2,4646957052,4/27/2020,125,6650,1500,54000,1,284.2,0.083333333,-2.48490665,4/27/2020,56,33,0.018975901
276,36007,50928,2,4646957052,4/28/2020,175,6825,2175,56175,1,284.2,0.08045977,-2.51999797,4/28/2020,57,34,0.025975486
277,36007,50928,3,4646957052,4/29/2020,275,7100,2850,59025,1,284.2,0.096491228,-2.338303176,4/29/2020,58,35,0.039502443
278,36007,50928,2,4646957052,4/30/2020,375,7475,2750,61775,1,284.2,0.136363636,-1.992430165,4/30/2020,59,36,0.051469335
279,36007,50928,2,4646957052,5/1/2020,150,7625,2850,64625,1,284.2,0.052631579,-2.944438979,5/1/2020,60,37,0.019868203
280,36007,50928,3,4646957052,5/2/2020,550,8175,10375,75000,1,284.2,0.053012048,-2.937236067,5/2/2020,61,38,0.069648394
281,36007,50928,2,4646957052,5/3/2020,175,8350,8825,83825,1,284.2,0.019830028,-3.920557908,5/3/2020,62,39,0.021180822
282,36007,50928,3,4646957052,5/4/2020,100,8450,4500,88325,1,284.2,0.022222222,-3.80666249,5/4/2020,63,40,0.011904903
283,36007,50928,2,4646957052,5/5/2020,175,8625,6825,95150,1,284.2,0.025641026,-3.663561646,5/5/2020,64,41,0.020498522
284,36007,50928,3,4646957052,5/6/2020,375,9000,8325,103475,1,284.2,0.045045045,-3.100092289,5/6/2020,65,42,0.042559614
285,36007,50928,2,4646957052,5/7/2020,100,9100,5350,108825,1,284.2,0.018691589,-3.979681654,5/7/2020,66,43,0.011049836
286,36007,50928,3,4646957052,5/8/2020,200,9300,6300,115125,1,284.2,0.031746032,-3.449987546,5/8/2020,67,44,0.021739987
287,36007,50928,2,4646957052,5/9/2020,25,9325,7925,123050,1,284.2,0.003154574,-5.758901774,5/9/2020,68,45,0.002684565
288,36007,50928,2,4646957052,5/10/2020,125,9450,7975,131025,1,284.2,0.015673981,-4.15575319,5/10/2020,69,46,0.013315776
289,36007,50928,1,4646957052,5/11/2020,25,9475,6775,137800,1,284.2,0.003690037,-5.602118821,5/11/2020,70,47,0.002642009
290,36007,50928,2,4646957052,5/12/2020,75,9550,7275,145075,1,284.2,0.010309278,-4.574710979,5/12/2020,71,48,0.007884404
291,36007,50928,3,4646957052,5/13/2020,25,9575,8575,153650,1,284.2,0.002915452,-5.837730447,5/13/2020,72,49,0.002614381
317,36009,48017,3,107119962,3/27/2020,44,44,1100,5544,1,61.4,0.04,-3.218875825,3/27/2020,25,2,0
